ITEM,UNIQUE_VISITORS,VISITS,PAGE_VIEWS,BOUNCES,TIME_SPENT_ON_PAGE_(MIN),E89_VIDEO_VIEWS,E17_FORM_SUCCESS,FORM_SUBMISSIONS,TOTAL_WEEKLY_UNIQUE_VISITORS,ENTRIES,TOTAL_TIME_SPENT,ACCOUNT_NUMBER,DATE,GRANULARITY,SEGMENT_ID,GROUP,ETL_EXTRACT_DATE
,,,,,,,,,,,,ACCT0065581,Mon. 15 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0071663,Mon. 15 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0048703,Mon. 15 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0008833,Mon. 15 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0106566,Mon. 15 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0087337,Mon. 15 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0087467,Mon. 15 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ISP Visitor,Tue. 16 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,Not In List,Tue. 16 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,::unspecified::,Tue. 16 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0065581,Tue. 16 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0071663,Tue. 16 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0048703,Tue. 16 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0008833,Tue. 16 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0106566,Tue. 16 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0087337,Tue. 16 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0087467,Tue. 16 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ISP Visitor,Wed. 17 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
